name,price,sample,valuable,bench,bench_low,bench_high
WD WD10EURX 1TB,25,53000,51.4,64.2,34,87
Toshiba MK2576GSX 250GB,25,866,5.95,29.4,11,42
Seagate ST3120026AS 120GB,24,2200,2.37,24.2,12,31
WD Blue 160GB (2007),24,56000,5.32,39.9,18,59
WD Green 500GB (2009),23,63000,17.3,40.5,20,54
WD Blue 2.5" 500GB,23,80000,18.7,42.9,17,61
Seagate Constellation ES.3 1TB,22,9300,76.1,83.7,56,103
Seagate Laptop Thin SSHD 2.5" 500GB,21,34000,21.4,45.7,18,64
Seagate Barracuda 7200.12 250GB,20,44000,12.3,49.2,19,68
Seagate ST3500312CS 500GB,20,89000,23.5,46.2,23,60
Seagate ST3500514NS 500GB,19,1900,31.1,59.1,38,75
WD Blue 2.5" 320GB (2010),18,39000,11.5,32.7,15,47
Seagate Barracuda 7200.14 500GB,17,574000,34.3,58.4,27,88
Seagate Momentus Thin 5400.9 2.5" 500GB,14,168000,29.9,41.8,11,61
