name,price,sample,valuable,bench,bench_low,bench_high
Kingston SSDNow V300 120GB,36,339000,8.68,53.6,30,73
Kingston SSDNow V300 240GB,35,176000,17.6,64.1,41,85
Adata SU635 480GB,35,5000,32.7,70.5,36,103
Kingston A400 480GB,35,237000,34.4,74.3,39,102
Crucial BX500 480GB,35,83000,29.4,63.5,35,92
WD Green 240GB (2018),33,156000,13.1,45.4,34,55
HP EX900 NVMe PCIe M.2 120GB,31,2400,25,139,90,179
PNY CS900 120GB,30,42000,12.8,69.3,42,87
HP S700 120GB,30,4500,11.4,61.8,31,95
SanDisk SSD Plus 240GB,30,133000,18.7,60.5,35,86
Gigabyte SSD 240GB,28,20000,23.5,72.9,42,91
HP EX900 NVMe PCIe M.2 250GB,28,12000,54.8,163,103,228
Crucial BX500 240GB,25,142000,19.9,56,30,92
Kingston A400 240GB,25,424000,23.3,65.8,33,100
