name,price,sample,valuable,bench,bench_low,bench_high
AMD Ryzen 5 1600X £60,£60,140000,108,73.7,62,82
Intel Core i3-10100F £60,£60,39000,118,80.4,69,87
Intel Core i3-4160 £60,£60,48000,81.1,55.1,34,67
AMD Ryzen 3 3200G £59,£59,104000,92.6,62.7,46,74
Intel Core i3-6100 £59,£59,110000,81.9,55.4,29,68
Intel Core i3-3220 £55,£55,71000,78.6,52.1,38,62
AMD FX-6300 £50,£50,261000,85.4,55.2,44,62
AMD Ryzen 3 2200G £50,£50,181000,93.6,60.5,43,72
Intel Xeon E5-1620 v2 £48,£48,10000,111,71,63,79
Intel Xeon E5-1620 0 £48,£48,17000,109,69.7,61,77
Intel Core2 Duo T7250 £45,£45,3600,54.1,34,20,39
Intel Core i5-4590S £45,£45,11000,107,67.1,49,76
AMD Athlon 3000G £40,£40,11000,87.1,52.9,37,62
Intel Celeron G3930 £35,£35,9600,82.2,48.2,31,60
AMD FX-8300 £35,£35,49000,98.3,57.6,48,64
Intel Celeron G3900 £30,£30,6600,88.1,49.5,34,60
AMD Sempron 3000+ £30,£30,276,47.7,26.8,13,45
Intel Core2 Duo T9400 £30,£30,3200,69.7,39.1,28,43
AMD Athlon X4 845 £30,£30,6300,80.2,45,33,54
Intel Pentium E5400 £27,£27,14000,66.4,36.2,21,43
AMD A6-6400K APU £20,£20,13000,79.3,39.8,22,52
